tanggal,prec
23-03-2022,1.8
24-03-2022,1.5
25-03-2022,4.6
26-03-2022,0.0
27-03-2022,0.0
28-03-2022,0.0
29-03-2022,0.0
30-03-2022,4.6
31-03-2022,4.6
01-04-2022,13.7
02-04-2022,1.0
03-04-2022,0.0
04-04-2022,3.7
05-04-2022,3.1
06-04-2022,24.5
07-04-2022,0.0
08-04-2022,0.2
09-04-2022,0.2
10-04-2022,0.2
11-04-2022,0.0
12-04-2022,23.1
13-04-2022,0.0
14-04-2022,4.5
15-04-2022,0.3
16-04-2022,0.0
17-04-2022,0.0
18-04-2022,9.2
19-04-2022,1.9
20-04-2022,5.9
21-04-2022,6.7
22-04-2022,3.0
23-04-2022,4.5
24-04-2022,2.4
25-04-2022,0.4
26-04-2022,10.7
27-04-2022,0.0
28-04-2022,5.0
29-04-2022,0.0
30-04-2022,10.2
01-05-2022,0.2
02-05-2022,0.0
03-05-2022,6.4
04-05-2022,0.0
05-05-2022,0.0
06-05-2022,6.4
07-05-2022,0.4
08-05-2022,18.6
09-05-2022,6.4
10-05-2022,22.0
11-05-2022,0.4
12-05-2022,4.5
13-05-2022,0.0
14-05-2022,0.0
15-05-2022,3.1
16-05-2022,0.0
17-05-2022,0.0
18-05-2022,6.0
19-05-2022,1.8
20-05-2022,6.9
21-05-2022,36.6
22-05-2022,0.7
23-05-2022,0.5
24-05-2022,6.4
25-05-2022,6.4
26-05-2022,6.4
27-05-2022,43.6
28-05-2022,0.0
29-05-2022,6.4
30-05-2022,7.7
31-05-2022,0.0
01-06-2022,0.0
02-06-2022,8.5
03-06-2022,3.2
04-06-2022,1.5
05-06-2022,8.5
06-06-2022,38.5
07-06-2022,10.5
08-06-2022,0.0
09-06-2022,8.5
10-06-2022,0.0
11-06-2022,8.5
12-06-2022,27.8
13-06-2022,11.8
14-06-2022,0.5
15-06-2022,8.5
16-06-2022,8.5
17-06-2022,1.7
18-06-2022,0.4
19-06-2022,0.0
20-06-2022,8.5
21-06-2022,6.2
22-06-2022,8.5
23-06-2022,8.5
24-06-2022,1.1
25-06-2022,0.0
26-06-2022,36.8
27-06-2022,4.0
28-06-2022,25.5
29-06-2022,8.5
30-06-2022,0.0
01-07-2022,4.5
02-07-2022,0.0
03-07-2022,6.5
04-07-2022,0.0
05-07-2022,0.0
06-07-2022,1.8
07-07-2022,1.8
08-07-2022,0.0
09-07-2022,0.0
10-07-2022,4.5
11-07-2022,0.0
12-07-2022,0.0
13-07-2022,0.9
14-07-2022,60.8
15-07-2022,2.1
16-07-2022,0.0
17-07-2022,39.6
18-07-2022,0.0
19-07-2022,0.0
20-07-2022,0.0
21-07-2022,4.5
22-07-2022,0.0
23-07-2022,4.5
24-07-2022,0.0
25-07-2022,0.0
26-07-2022,0.0
27-07-2022,0.0
28-07-2022,4.5
29-07-2022,4.5
30-07-2022,0.0
31-07-2022,0.0
01-08-2022,0.0
02-08-2022,0.0
03-08-2022,0.0
04-08-2022,2.7
05-08-2022,1.5
06-08-2022,0.0
07-08-2022,0.0
08-08-2022,2.7
09-08-2022,0.0
10-08-2022,0.0
11-08-2022,2.0
12-08-2022,0.0
13-08-2022,0.0
14-08-2022,23.5
15-08-2022,2.7
16-08-2022,22.1
17-08-2022,0.0
18-08-2022,0.0
19-08-2022,0.5
20-08-2022,2.7
21-08-2022,0.6
22-08-2022,2.7
23-08-2022,0.0
24-08-2022,2.7
25-08-2022,0.0
26-08-2022,0.0
27-08-2022,2.7
28-08-2022,7.4
29-08-2022,2.7
30-08-2022,0.0
31-08-2022,4.8
01-09-2022,0.2
02-09-2022,6.5
03-09-2022,0.0
04-09-2022,0.0
05-09-2022,0.0
06-09-2022,3.9
07-09-2022,6.5
08-09-2022,22.0
09-09-2022,6.5
10-09-2022,24.4
11-09-2022,34.3
12-09-2022,5.3
13-09-2022,6.5
14-09-2022,1.5
15-09-2022,6.5
16-09-2022,11.4
17-09-2022,7.6
18-09-2022,0.0
19-09-2022,6.5
20-09-2022,2.3
21-09-2022,6.5
22-09-2022,6.5
23-09-2022,4.4
24-09-2022,6.5
25-09-2022,0.0
26-09-2022,0.0
27-09-2022,6.5
28-09-2022,6.5
29-09-2022,0.0
30-09-2022,6.5
01-10-2022,0.0
02-10-2022,11.0
03-10-2022,0.0
04-10-2022,0.0
05-10-2022,0.0
06-10-2022,31.4
07-10-2022,23.2
08-10-2022,0.6
09-10-2022,23.8
10-10-2022,13.6
11-10-2022,16.5
12-10-2022,0.5
13-10-2022,19.0
14-10-2022,6.4
15-10-2022,87.0
16-10-2022,2.3
17-10-2022,6.0
18-10-2022,2.5
19-10-2022,20.5
20-10-2022,11.0
21-10-2022,5.0
22-10-2022,13.3
23-10-2022,0.0
24-10-2022,0.0
25-10-2022,12.0
26-10-2022,12.5
27-10-2022,11.0
28-10-2022,11.0
29-10-2022,0.0
30-10-2022,0.2
31-10-2022,0.0
01-11-2022,10.0
02-11-2022,4.4
03-11-2022,2.5
04-11-2022,10.0
05-11-2022,38.6
06-11-2022,13.4
07-11-2022,91.0
08-11-2022,5.5
09-11-2022,0.0
10-11-2022,6.7
11-11-2022,1.7
12-11-2022,0.5
13-11-2022,54.3
14-11-2022,0.1
15-11-2022,5.6
16-11-2022,0.0
17-11-2022,0.0
18-11-2022,2.0
19-11-2022,3.0
20-11-2022,0.0
21-11-2022,10.0
22-11-2022,12.4
23-11-2022,1.5
24-11-2022,10.0
25-11-2022,0.0
26-11-2022,10.0
27-11-2022,2.4
28-11-2022,1.4
29-11-2022,0.0
30-11-2022,6.5
01-12-2022,4.3
02-12-2022,12.0
03-12-2022,0.0
04-12-2022,1.0
05-12-2022,22.8
06-12-2022,12.0
07-12-2022,0.0
08-12-2022,12.0
09-12-2022,12.0
10-12-2022,1.0
11-12-2022,0.0
12-12-2022,19.3
13-12-2022,4.7
14-12-2022,12.0
15-12-2022,0.0
16-12-2022,0.8
17-12-2022,23.9
18-12-2022,0.6
19-12-2022,12.0
20-12-2022,0.0
21-12-2022,5.4
22-12-2022,1.6
23-12-2022,6.9
24-12-2022,4.6
25-12-2022,5.4
26-12-2022,0.2
27-12-2022,68.1
28-12-2022,12.0
29-12-2022,24.8
30-12-2022,4.4
31-12-2022,92.7
01-01-2023,98.0
02-01-2023,4.1
03-01-2023,12.4
04-01-2023,0.4
05-01-2023,1.0
06-01-2023,21.6
07-01-2023,33.7
08-01-2023,3.1
09-01-2023,0.0
10-01-2023,0.2
11-01-2023,0.5
12-01-2023,0.0
13-01-2023,0.0
14-01-2023,4.0
15-01-2023,1.0
16-01-2023,18.5
17-01-2023,0.0
18-01-2023,20.5
19-01-2023,41.6
20-01-2023,12.7
21-01-2023,12.7
22-01-2023,0.0
